run_date,event_type,squad,player,old_injury,new_injury,old_until,new_until
2026-07-03,new_injury,Augsburg,Alexis Claude-Maurice,,Ankle problems,,
2026-07-03,new_injury,Augsburg,Dimitrios Giannoulis,,unknown injury,,
2026-07-03,new_injury,Bayern Munich,Bryan Zaragoza,,Inflammation in the knee,,
2026-07-03,new_injury,Bayern Munich,David Santos Daiber,,Hamstring injury,,04/08/2026
2026-07-03,new_injury,Bayern Munich,Lennart Karl,,Muscle tear,,
2026-07-03,new_injury,Bayern Munich,Serge Gnabry,,Adductor injury,,20/07/2026
2026-07-03,new_injury,Dortmund,Emre Can,,Cruciate ligament tear,,
2026-07-03,new_injury,Dortmund,Joane Gadou,,Knock,,
2026-07-03,new_injury,Dortmund,Nico Schlotterbeck,,Inner ligament tear in ankle joint,,
2026-07-03,new_injury,FC Schalke 04,Tomas Kalas,,Fitness,,
2026-07-03,new_injury,Frankfurt,Jessic Ngankam,,Hamstring injury,,
2026-07-03,new_injury,Frankfurt,Nnamdi Collins,,Ankle injury,,
2026-07-03,new_injury,Frankfurt,Oscar Højlund,,Knock,,
2026-07-03,new_injury,Gladbach,Nathan Ngoumou,,muscular problems,,
2026-07-03,new_injury,Hamburger SV,Alexander Røssing-Lelesiit,,Ankle injury,,
2026-07-03,new_injury,Hamburger SV,Fernando Dickes,,Shoulder injury,,
2026-07-03,new_injury,Hamburger SV,Miro Muheim,,Calf injury,,
2026-07-03,new_injury,Hoffenheim,Koki Machida,,Cruciate ligament tear,,
2026-07-03,new_injury,Hoffenheim,Valentin Gendrey,,Ankle injury,,
2026-07-03,new_injury,Köln,Timo Hübers,,Knee injury,,
2026-07-03,new_injury,Leverkusen,Christian Kofane,,Shoulder injury,,
2026-07-03,new_injury,Leverkusen,Martin Terrier,,Hamstring injury,,
2026-07-03,new_injury,Leverkusen,Nathan Tella,,muscular problems,,
2026-07-03,new_injury,Mainz 05,Benedict Hollerbach,,Achilles tendon rupture,,
2026-07-03,new_injury,Mainz 05,Silas,,Tibia and fibula fracture,,
2026-07-03,new_injury,RB Leipzig,Christoph Baumgartner,,Hamstring injury,,31/10/2026
2026-07-03,new_injury,RB Leipzig,Leopold Zingerle,,Hand injury,,
2026-07-03,new_injury,RB Leipzig,Viggo Gebel,,Cruciate ligament tear,,
2026-07-03,new_injury,SC Paderborn 07,Timur Gayret,,Cruciate ligament tear,,
2026-07-03,new_injury,Stuttgart,Lorenz Assignon,,Shoulder injury,,
2026-07-03,new_injury,Union Berlin,Matheo Raab,,Hand injury,,
2026-07-03,new_injury,Werder Bremen,Dawid Kownacki,,Ill,,
2026-07-03,new_injury,Werder Bremen,Keke Topp,,Cruciate ligament tear,,
2026-07-03,new_injury,Werder Bremen,Mitchell Weiser,,Cruciate ligament tear,,
2026-07-05,new_injury,Stuttgart,Luca Jaquez,,muscular problems,,
2026-07-05,recovered_or_removed,Hamburger SV,Miro Muheim,Calf injury,,,
2026-07-07,new_injury,Bayern Munich,Ismael Saibari,,Hamstring injury,,
2026-07-07,new_injury,Freiburg,Johan Manzambi,,Knee injury,,
2026-07-07,recovered_or_removed,FC Schalke 04,Tomas Kalas,Fitness,,,
2026-07-09,updated,Freiburg,Johan Manzambi,Knee injury,Knee bruise,,
2026-07-09,new_injury,Hoffenheim,Andrej Kramaric,,Groin surgery,,
2026-07-11,recovered_or_removed,Bayern Munich,Ismael Saibari,Hamstring injury,,,
2026-07-13,new_injury,SV 07 Elversberg,Luis Seifert,,Syndesmosis ligament tear,,
2026-07-13,recovered_or_removed,Frankfurt,Jessic Ngankam,Hamstring injury,,,
2026-07-13,recovered_or_removed,Stuttgart,Luca Jaquez,muscular problems,,,
