run_date,event_type,squad,player,old_injury,new_injury,old_until,new_until
2026-07-02,new_injury,Athletic Club,Nico Williams,,Adductor pain,,
2026-07-02,new_injury,Atlético Madrid,Johnny Cardoso,,Ankle surgery,,
2026-07-02,new_injury,Barcelona,Fermín López,,Metatarsal fracture,,31/07/2026
2026-07-02,new_injury,Barcelona,Raphinha,,Hamstring injury,,
2026-07-02,new_injury,Celta Vigo,Ionuț Radu,,muscular problems,,
2026-07-02,new_injury,Deportivo A Coruña,David Mella,,Tear of the lateral meniscus,,
2026-07-02,new_injury,Elche,Abiel Osorio,,Hamstring injury,,
2026-07-02,new_injury,Espanyol,Javi Puado,,Cruciate ligament tear,,01/09/2026
2026-07-02,new_injury,Racing Santander,Facundo González,,Ankle injury,,04/07/2026
2026-07-02,new_injury,Racing Santander,Giorgi Guliashvili,,Fracture of fibula shaft,,16/07/2026
2026-07-02,new_injury,Rayo Vallecano,Andrei Rațiu,,muscular problems,,
2026-07-02,new_injury,Rayo Vallecano,Raúl de Tomás,,unknown injury,,
2026-07-02,new_injury,Real Betis,Ángel Ortiz,,Shoulder injury,,
2026-07-02,new_injury,Real Madrid,Ferland Mendy,,Tendon rupture,,30/04/2027
2026-07-02,new_injury,Real Madrid,Rodrygo,,Cruciate ligament tear,,30/09/2026
2026-07-02,new_injury,Real Madrid,Éder Militão,,Muscle injury,,01/09/2026
2026-07-02,new_injury,Real Sociedad,Álvaro Odriozola,,Cruciate ligament tear,,30/11/2026
2026-07-02,new_injury,Sevilla,Manu Bueno,,Edema in the knee,,
2026-07-02,new_injury,Sevilla,Patrik Mercado,,Cruciate ligament tear,,
2026-07-02,new_injury,Valencia,Diego López,,Cruciate ligament tear,,01/03/2027
2026-07-02,new_injury,Valencia,Dimitri Foulquier,,Knee injury,,
2026-07-02,new_injury,Valencia,Sergi Canós,,Cruciate ligament tear,,01/01/2027
2026-07-02,new_injury,Villarreal,Juan Foyth,,Achilles tendon rupture,,31/08/2026
2026-07-05,new_injury,Málaga CF,Juanpe Jiménez,,Muscle injury,,31/07/2026
2026-07-05,recovered_or_removed,Athletic Club,Nico Williams,Adductor pain,,,
2026-07-05,recovered_or_removed,Racing Santander,Facundo González,Ankle injury,,04/07/2026,
2026-07-07,new_injury,Barcelona,Marc-André ter Stegen,,Hamstring injury,,13/07/2026
2026-07-07,new_injury,Sevilla,Alfon González,,Torn thigh muscle,,
2026-07-07,recovered_or_removed,Barcelona,Raphinha,Hamstring injury,,,
2026-07-13,new_injury,Sevilla,Andrés Castrín,,Pubalgia,,
2026-07-13,new_injury,Sevilla,Marcão,,Right hip flexor problems,,
2026-07-13,recovered_or_removed,Barcelona,Marc-André ter Stegen,Hamstring injury,,13/07/2026,
2026-07-15,recovered_or_removed,Atlético Madrid,Johnny Cardoso,Ankle surgery,,,
2026-07-15,recovered_or_removed,Barcelona,Fermín López,Metatarsal fracture,,31/07/2026,
2026-07-15,recovered_or_removed,Celta Vigo,Ionuț Radu,muscular problems,,,
2026-07-15,recovered_or_removed,Deportivo A Coruña,David Mella,Tear of the lateral meniscus,,,
2026-07-15,recovered_or_removed,Elche,Abiel Osorio,Hamstring injury,,,
2026-07-15,recovered_or_removed,Espanyol,Javi Puado,Cruciate ligament tear,,01/09/2026,
2026-07-15,recovered_or_removed,Málaga CF,Juanpe Jiménez,Muscle injury,,31/07/2026,
2026-07-15,recovered_or_removed,Racing Santander,Giorgi Guliashvili,Fracture of fibula shaft,,16/07/2026,
2026-07-15,recovered_or_removed,Rayo Vallecano,Andrei Rațiu,muscular problems,,,
2026-07-15,recovered_or_removed,Rayo Vallecano,Raúl de Tomás,unknown injury,,,
2026-07-15,recovered_or_removed,Real Betis,Ángel Ortiz,Shoulder injury,,,
2026-07-15,recovered_or_removed,Real Madrid,Ferland Mendy,Tendon rupture,,30/04/2027,
2026-07-15,recovered_or_removed,Real Madrid,Rodrygo,Cruciate ligament tear,,30/09/2026,
2026-07-15,recovered_or_removed,Real Madrid,Éder Militão,Muscle injury,,01/09/2026,
2026-07-15,recovered_or_removed,Real Sociedad,Álvaro Odriozola,Cruciate ligament tear,,30/11/2026,
2026-07-15,recovered_or_removed,Sevilla,Alfon González,Torn thigh muscle,,,
2026-07-15,recovered_or_removed,Sevilla,Andrés Castrín,Pubalgia,,,
2026-07-15,recovered_or_removed,Sevilla,Manu Bueno,Edema in the knee,,,
2026-07-15,recovered_or_removed,Sevilla,Marcão,Right hip flexor problems,,,
2026-07-15,recovered_or_removed,Sevilla,Patrik Mercado,Cruciate ligament tear,,,
2026-07-15,recovered_or_removed,Valencia,Diego López,Cruciate ligament tear,,01/03/2027,
2026-07-15,recovered_or_removed,Valencia,Dimitri Foulquier,Knee injury,,,
2026-07-15,recovered_or_removed,Valencia,Sergi Canós,Cruciate ligament tear,,01/01/2027,
2026-07-15,recovered_or_removed,Villarreal,Juan Foyth,Achilles tendon rupture,,31/08/2026,
