run_date,event_type,squad,player,old_injury,new_injury,old_until,new_until
2026-07-03,new_injury,Angers,Harouna Djibirin,,Ankle injury,,
2026-07-03,new_injury,Angers,Louis Mouton,,Meniscus injury,,
2026-07-03,new_injury,Angers,Prosper Peter,,Hamstring injury,,
2026-07-03,new_injury,Angers,Yassin Belkhdim,,Arm injury,,
2026-07-03,new_injury,Auxerre,Bryan Okoh,,Cruciate ligament tear,,
2026-07-03,new_injury,Auxerre,Fredrik Oppegård,,Ankle sprain,,
2026-07-03,new_injury,Auxerre,Saad Agouzoul,,Broken toe,,
2026-07-03,new_injury,Brest,Mama Baldé,,Dead leg,,
2026-07-03,new_injury,Le Havre,Abdoulaye Touré,,Knee injury,,
2026-07-03,new_injury,Le Havre,Noam Obougou,,Groin injury,,
2026-07-03,new_injury,Le Havre,Stephan Zagadou,,Cruciate ligament tear,,
2026-07-03,new_injury,Lens,Jhoanner Chávez,,Thigh problems,,
2026-07-03,new_injury,Lens,Jonathan Gradit,,Lower leg fracture,,
2026-07-03,new_injury,Lens,Nidal Celik,,Meniscus injury,,
2026-07-03,new_injury,Lens,Samson Baidoo,,Hamstring injury,,
2026-07-03,new_injury,Lille,Hamza Igamane,,Cruciate ligament tear,,
2026-07-03,new_injury,Lille,Ousmane Touré,,Cruciate ligament tear,,
2026-07-03,new_injury,Lorient,Bingourou Kamara,,Knee injury,,
2026-07-03,new_injury,Lorient,Jérémy Hatchi,,Adductor pain,,
2026-07-03,new_injury,Lyon,Mads Bidstrup,,Calf injury,,
2026-07-03,new_injury,Lyon,Tanner Tessmann,,Muscle injury,,
2026-07-03,new_injury,Lyon,Tyler Morton,,Pubalgia,,
2026-07-03,new_injury,Marseille,CJ Egan-Riley,,Dead leg,,
2026-07-03,new_injury,Marseille,Faris Moumbagna,,Adductor injury,,
2026-07-03,new_injury,Marseille,Geoffrey Kondogbia,,Dead leg,,
2026-07-03,new_injury,Marseille,Hamed Traoré,,Adductor pain,,
2026-07-03,new_injury,Marseille,Leonardo Balerdi,,Calf injury,,
2026-07-03,new_injury,Marseille,Nayef Aguerd,,Groin injury,,
2026-07-03,new_injury,Monaco,Mohammed Salisu,,Cruciate ligament tear,,
2026-07-03,new_injury,Monaco,Stanis Idumbo,,Shoulder injury,,
2026-07-03,new_injury,Monaco,Takumi Minamino,,Torn knee ligaments,,01/08/2026
2026-07-03,new_injury,Paris FC,Jean-Philippe Krasso,,Knee injury,,
2026-07-03,new_injury,Paris FC,Omar Sissoko,,Ankle injury,,
2026-07-03,new_injury,Strasbourg,Andrew Omobamidele,,unknown injury,,
2026-07-03,new_injury,Strasbourg,Joaquín Panichelli,,Cruciate ligament tear,,31/12/2026
2026-07-03,new_injury,Toulouse,Rafik Messali,,Injury to the ankle,,
2026-07-03,new_injury,Toulouse,Ylies Aradj,,Calf problems,,
2026-07-07,recovered_or_removed,Auxerre,Saad Agouzoul,Broken toe,,,
2026-07-07,recovered_or_removed,Le Havre,Abdoulaye Touré,Knee injury,,,
2026-07-08,new_injury,Nice,Mohamed Abdelmonem,,Ankle injury,,
2026-07-08,new_injury,PSG,Nuno Mendes,,Muscle injury,,
2026-07-11,new_injury,Auxerre,Marvin Senaya,,Hamstring injury,,04/09/2026
2026-07-14,new_injury,Lens,Régis Gurtner,,Hamstring injury,,
