squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Augsburg,2026,summer,in,Rodrigo Ribeiro,rodrigo ribeiro,Centre-Forward,21,Portugal,Sporting B,5000000.0,€5.00m,https://img.a.transfermarkt.technology/portrait/medium/726701-1773661292.jpg?lm=1
Augsburg,2026,summer,in,Michael Gregoritsch,michael gregoritsch,Centre-Forward,32,Austria,Bröndby IF,700000.0,€700k,https://img.a.transfermarkt.technology/portrait/medium/120205-1773661423.jpg?lm=1
Augsburg,2026,summer,in,Calvin Brackelmann,calvin brackelmann,Centre-Back,26,Germany,SC Paderborn,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/358766-1734014318.JPG?lm=1
Augsburg,2026,summer,in,Faik Sakar,faik sakar,Left Winger,18,Germany,RB Leipzig U19,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/1132292-1736764527.jpg?lm=1
Augsburg,2026,summer,in,Elias Saad,elias saad,Left Winger,26,Tunisia,Hannover 96,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/526466-1755201952.jpg?lm=1
Augsburg,2026,summer,in,Nathanaël Mbuku,nathanael mbuku,Left Winger,24,DR Congo,Montpellier,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/557614-1676276284.jpg?lm=1
Augsburg,2026,summer,in,Steve Mounié,steve mounie,Centre-Forward,31,Benin,Alanyaspor,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/238639-1761655846.jpg?lm=1
Augsburg,2026,summer,in,Maximilian Bauer,maximilian bauer,Centre-Back,26,Germany,Arm. Bielefeld,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/388363-1755201222.jpg?lm=1
Augsburg,2026,summer,in,Marcel Lubik,marcel lubik,Goalkeeper,22,Poland,Górnik Zabrze,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/656250-1691251112.jpg?lm=1
Augsburg,2026,summer,in,Henri Koudossou,henri koudossou,Right-Back,26,Germany,1.FC Nuremberg,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/515624-1722850046.jpg?lm=1
Augsburg,2026,summer,in,Yusuf Kabadayi,yusuf kabadayi,Left Winger,22,Germany,Gaziantep FK,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/604359-1755202049.jpg?lm=1
Augsburg,2026,summer,in,Kyliane Dong,kyliane dong,Left Winger,21,France,Pau FC,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/982863-1755200417.jpg?lm=1
Augsburg,2026,summer,in,Tim Breithaupt,tim breithaupt,Defensive Midfield,24,Germany,F. Düsseldorf,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/569457-1755201662.jpg?lm=1
Augsburg,2026,summer,in,Aiman Dardari,aiman dardari,Left Winger,21,Luxembourg,Greuther Fürth,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/904723-1755086019.jpg?lm=1
Augsburg,2026,summer,in,David Colina,david colina,Left-Back,25,Croatia,NK Osijek,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/371000-1676276224.jpg?lm=1
Augsburg,2026,summer,out,Cédric Zesiger,cedric zesiger,Centre-Back,28,Switzerland,Young Boys,3500000.0,€3.50m,https://img.a.transfermarkt.technology/portrait/medium/382478-1755200960.jpg?lm=1
Augsburg,2026,summer,out,Henri Koudossou,henri koudossou,Right-Back,26,Germany,Arm. Bielefeld,500000.0,€500k,https://img.a.transfermarkt.technology/portrait/medium/515624-1722850046.jpg?lm=1
Augsburg,2026,summer,out,David Colina,david colina,Left-Back,25,Croatia,Zaglebie Lubin,400000.0,€400k,https://img.a.transfermarkt.technology/portrait/medium/371000-1676276224.jpg?lm=1
Augsburg,2026,summer,out,Maximilian Bauer,maximilian bauer,Centre-Back,26,Germany,Arm. Bielefeld,350000.0,€350k,https://img.a.transfermarkt.technology/portrait/medium/388363-1755201222.jpg?lm=1
Augsburg,2026,summer,out,Elvis Rexhbecaj,elvis rexhbecaj,Central Midfield,28,Kosovo,Wolfsburg,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/280575-1755201620.jpg?lm=1
Augsburg,2026,summer,out,Oliver Sorg,oliver sorg,Left-Back,18,Austria,SV Ried,,?,https://img.a.transfermarkt.technology/portrait/medium/960444-1755200367.jpg?lm=1
Augsburg,2026,summer,out,Marcel Lubik,marcel lubik,Goalkeeper,22,Poland,Wisla Kraków,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/656250-1691251112.jpg?lm=1
Augsburg,2026,summer,out,Aiman Dardari,aiman dardari,Left Winger,21,Luxembourg,RW Essen,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/904723-1755086019.jpg?lm=1
Augsburg,2026,summer,out,Daniel Klein,daniel klein,Goalkeeper,25,Germany,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/392124-1755200609.jpg?lm=1
Augsburg,2026,summer,out,Arthur Chaves,arthur chaves,Centre-Back,25,Brazil,Hoffenheim,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/875332-1773660988.jpg?lm=1
Augsburg,2026,summer,out,Ismaël Gharbi,ismael gharbi,Left Winger,22,Tunisia,Braga,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/810096-1773671302.jpg?lm=1
Augsburg,2026,summer,out,Rodrigo Ribeiro,rodrigo ribeiro,Centre-Forward,21,Portugal,Sporting B,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/726701-1773661292.jpg?lm=1
Augsburg,2026,summer,out,Michael Gregoritsch,michael gregoritsch,Centre-Forward,32,Austria,Bröndby IF,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/120205-1773661423.jpg?lm=1
Bayern Munich,2026,summer,in,Ismael Saibari,ismael saibari,Attacking Midfield,25,Morocco,PSV,50000000.0,€50.00m,https://img.a.transfermarkt.technology/portrait/medium/702869-1783322302.jpg?lm=1
Bayern Munich,2026,summer,in,Nathaniel Brown,nathaniel brown,Left-Back,23,Germany,Frankfurt,50000000.0,€50.00m,https://img.a.transfermarkt.technology/portrait/medium/691892-1724772335.jpg?lm=1
Bayern Munich,2026,summer,in,Noel Aseko,noel aseko,Defensive Midfield,20,Germany,Hannover 96,2500000.0,€2.50m,https://img.a.transfermarkt.technology/portrait/medium/904974-1757924687.png?lm=1
Bayern Munich,2026,summer,in,João Palhinha,joao palhinha,Defensive Midfield,30,Portugal,Tottenham,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/257455-1684773447.jpg?lm=1
Bayern Munich,2026,summer,in,Alexander Nübel,alexander nubel,Goalkeeper,29,Germany,Stuttgart,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/195778-1691998861.jpg?lm=1
Bayern Munich,2026,summer,in,Noel Aseko,noel aseko,Defensive Midfield,20,Germany,Hannover 96,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/904974-1757924687.png?lm=1
Bayern Munich,2026,summer,in,Sacha Boey,sacha boey,Right-Back,25,France,Galatasaray,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/475413-1706907003.jpg?lm=1
Bayern Munich,2026,summer,in,Arijon Ibrahimovic,arijon ibrahimovic,Attacking Midfield,20,Germany,Heidenheim,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/744728-1755088466.jpg?lm=1
Bayern Munich,2026,summer,in,Bryan Zaragoza,bryan zaragoza,Left Winger,24,Spain,Roma,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/713644-1714503809.jpg?lm=1
Bayern Munich,2026,summer,in,Daniel Peretz,daniel peretz,Goalkeeper,25,Israel,Southampton,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/468539-1758188153.jpg?lm=1
Bayern Munich,2026,summer,in,Maurice Krattenmacher,maurice krattenmacher,Left Winger,20,Germany,Hertha BSC,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/829316-1748006424.jpg?lm=1
Bayern Munich,2026,summer,in,Jonah Kusi-Asare,jonah kusi-asare,Centre-Forward,18,Sweden,Fulham,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1069512-1739808814.jpg?lm=1
Bayern Munich,2026,summer,in,Armindo Sieb,armindo sieb,Second Striker,23,Germany,Mainz,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/569033-1722886149.jpg?lm=1
Bayern Munich,2026,summer,in,Lovro Zvonarek,lovro zvonarek,Attacking Midfield,21,Croatia,Grasshoppers,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/892973-1736777537.jpg?lm=1
Bayern Munich,2026,summer,in,Tarek Buchmann,tarek buchmann,Centre-Back,21,Germany,1.FC Nuremberg,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/744729-1758197896.jpg?lm=1
Bayern Munich,2026,summer,out,Daniel Peretz,daniel peretz,Goalkeeper,25,Israel,Southampton,8000000.0,€8.00m,https://img.a.transfermarkt.technology/portrait/medium/468539-1758188153.jpg?lm=1
Bayern Munich,2026,summer,out,Jonah Kusi-Asare,jonah kusi-asare,Centre-Forward,18,Sweden,Fulham,6000000.0,€6.00m,https://img.a.transfermarkt.technology/portrait/medium/1069512-1739808814.jpg?lm=1
Bayern Munich,2026,summer,out,Noel Aseko,noel aseko,Defensive Midfield,20,Germany,Hannover 96,1000000.0,€1.00m,https://img.a.transfermarkt.technology/portrait/medium/904974-1757924687.png?lm=1
Bayern Munich,2026,summer,out,Maurice Krattenmacher,maurice krattenmacher,Left Winger,20,Germany,SV Elversberg,,?,https://img.a.transfermarkt.technology/portrait/medium/829316-1748006424.jpg?lm=1
Bayern Munich,2026,summer,out,Leon Goretzka,leon goretzka,Central Midfield,31,Germany,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/153084-1700040179.jpg?lm=1
Bayern Munich,2026,summer,out,Raphaël Guerreiro,raphael guerreiro,Left-Back,32,Portugal,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/170986-1711745629.jpg?lm=1
Bayern Munich,2026,summer,out,Nicolas Jackson,nicolas jackson,Centre-Forward,25,Senegal,Chelsea,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/776890-1757939139.jpg?lm=1
Bayern Munich,2026,summer,out,Bara Sapoko Ndiaye,bara sapoko ndiaye,Central Midfield,18,Senegal,Gambinos Stars,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1497653-1778847569.jpg?lm=1
