squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
PSV,2026,summer,in,Sven Mijnans,sven mijnans,Attacking Midfield,26,Netherlands,AZ Alkmaar,13000000.0,€13.00m,https://img.a.transfermarkt.technology/portrait/medium/578804-1753350733.jpg?lm=1
PSV,2026,summer,in,Matej Kovar,matej kovar,Goalkeeper,26,Czech Republic,Leverkusen,5000000.0,€5.00m,https://img.a.transfermarkt.technology/portrait/medium/550829-1765213743.jpg?lm=1
PSV,2026,summer,in,Joël van den Berg,joel van den berg,Central Midfield,19,Netherlands,PSV U21,,-,https://img.a.transfermarkt.technology/portrait/medium/987376-1727814070.jpg?lm=1
PSV,2026,summer,in,Fabian Merién,fabian merien,Centre-Back,17,Netherlands,PSV U21,,-,https://img.a.transfermarkt.technology/portrait/medium/1135623-1727814020.jpg?lm=1
PSV,2026,summer,in,Tijn Smolenaars,tijn smolenaars,Goalkeeper,21,Netherlands,PSV U21,,-,https://img.a.transfermarkt.technology/portrait/medium/720805-1727813704.jpg?lm=1
PSV,2026,summer,in,Joël Drommel,joel drommel,Goalkeeper,29,Netherlands,Sparta R.,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/333640-1755697928.jpg?lm=1
PSV,2026,summer,in,Adamo Nagalo,adamo nagalo,Centre-Back,23,Burkina Faso,Konyaspor,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/800976-1769789205.png?lm=1
PSV,2026,summer,in,Isaac Babadi,isaac babadi,Attacking Midfield,21,Netherlands,Royal Antwerp,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/813437-1691582768.jpg?lm=1
PSV,2026,summer,out,Ismael Saibari,ismael saibari,Attacking Midfield,25,Morocco,Bayern Munich,50000000.0,€50.00m,https://img.a.transfermarkt.technology/portrait/medium/702869-1783322302.jpg?lm=1
PSV,2026,summer,out,Niek Schiks,niek schiks,Goalkeeper,22,Netherlands,RKC Waalwijk,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/723005-1721657782.jpg?lm=1
PSV,2026,summer,out,Myron Boadu,myron boadu,Centre-Forward,25,Netherlands,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/412932-1666692057.jpg?lm=1
PSV,2026,summer,out,Anass Salah-Eddine,anass salah-eddine,Left-Back,24,Morocco,Roma,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/485584-1766406432.jpg?lm=1
PSV,2026,summer,out,Matej Kovar,matej kovar,Goalkeeper,26,Czech Republic,Leverkusen,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/550829-1765213743.jpg?lm=1
Ajax,2026,summer,in,Caio Henrique,caio henrique,Left-Back,28,Brazil,Monaco,10500000.0,€10.50m,https://img.a.transfermarkt.technology/portrait/medium/420064-1614091193.jpg?lm=1
Ajax,2026,summer,in,Daley Blind,daley blind,Centre-Back,36,Netherlands,Girona,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/12282-1718096647.jpg?lm=1
Ajax,2026,summer,in,Ahmetcan Kaplan,ahmetcan kaplan,Centre-Back,23,Türkiye,NEC Nijmegen,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/662131-1764255617.png?lm=1
Ajax,2026,summer,in,Chuba Akpom,chuba akpom,Centre-Forward,30,England,Ipswich,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/197642-1678463529.jpg?lm=1
Ajax,2026,summer,in,Sivert Mannsverk,sivert mannsverk,Defensive Midfield,24,Norway,Sparta Prague,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/510310-1668692766.jpg?lm=1
Ajax,2026,summer,in,Branco van den Boomen,branco van den boomen,Central Midfield,30,Netherlands,Angers SCO,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/203938-1682946572.jpg?lm=1
Ajax,2026,summer,in,Amourricho van Axel Dongen,amourricho van axel dongen,Left Winger,21,Netherlands,Heerenveen,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/704773-1764064268.png?lm=1
Ajax,2026,summer,out,Sean Steur,sean steur,Central Midfield,18,Netherlands,Newcastle,23500000.0,€23.50m,https://img.a.transfermarkt.technology/portrait/medium/1111063-1758310610.jpg?lm=1
Ajax,2026,summer,out,Chuba Akpom,chuba akpom,Centre-Forward,30,England,Ipswich,9300000.0,€9.30m,https://img.a.transfermarkt.technology/portrait/medium/197642-1678463529.jpg?lm=1
