squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Sporting CP,2026,summer,in,Rodrigo Zalazar,rodrigo zalazar,Attacking Midfield,26,Uruguay,Braga,30000000.0,€30.00m,https://img.a.transfermarkt.technology/portrait/medium/606752-1771936397.png?lm=1
Sporting CP,2026,summer,in,Issa Doumbia,issa doumbia,Central Midfield,22,Italy,Venezia,20530000.0,€20.53m,https://img.a.transfermarkt.technology/portrait/medium/924349-1730186334.jpg?lm=1
Sporting CP,2026,summer,in,Sergi Altimira,sergi altimira,Central Midfield,24,Spain,Real Betis,18000000.0,€18.00m,https://img.a.transfermarkt.technology/portrait/medium/466801-1744375696.jpg?lm=1
Sporting CP,2026,summer,in,Silas Andersen,silas andersen,Defensive Midfield,22,Denmark,Häcken,7250000.0,€7.25m,https://img.a.transfermarkt.technology/portrait/medium/685657-1723460472.jpg?lm=1
Sporting CP,2026,summer,in,Pedro Lima,pedro lima,Central Midfield,23,Brazil,Avs FS,4000000.0,€4.00m,https://img.a.transfermarkt.technology/portrait/medium/816135-1670964723.jpg?lm=1
Sporting CP,2026,summer,in,Alisson Santos,alisson santos,Left Winger,23,Brazil,Napoli,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/830365-1765306584.jpg?lm=1
Sporting CP,2026,summer,in,Diogo Travassos,diogo travassos,Right-Back,22,Portugal,Moreirense,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/478317-1743698526.jpg?lm=1
Sporting CP,2026,summer,in,Biel,biel,Left Winger,25,Brazil,Al-Taawoun,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/875328-1684595840.jpg?lm=1
Sporting CP,2026,summer,in,Koba Koindredi,koba koindredi,Central Midfield,24,France,Basel,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/569375-1606423211.jpg?lm=1
Sporting CP,2026,summer,in,Sotiris Alexandropoulos,sotiris alexandropoulos,Central Midfield,24,Greece,F. Düsseldorf,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/481688-1753692280.jpg?lm=1
Sporting CP,2026,summer,in,Alexandre Brito,alexandre brito,Defensive Midfield,20,Portugal,Pafos,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1061568-1758220256.jpg?lm=1
Sporting CP,2026,summer,out,Geovany Quenda,geovany quenda,Right Winger,19,Portugal,Chelsea,50000000.0,€50.00m,https://img.a.transfermarkt.technology/portrait/medium/1138758-1761232238.jpg?lm=1
Sporting CP,2026,summer,out,Alisson Santos,alisson santos,Left Winger,23,Brazil,Napoli,16500000.0,€16.50m,https://img.a.transfermarkt.technology/portrait/medium/830365-1765306584.jpg?lm=1
Sporting CP,2026,summer,out,Diogo Travassos,diogo travassos,Right-Back,22,Portugal,Braga,5500000.0,€5.50m,https://img.a.transfermarkt.technology/portrait/medium/478317-1743698526.jpg?lm=1
Sporting CP,2026,summer,out,Alexandre Brito,alexandre brito,Defensive Midfield,20,Portugal,Pafos,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/1061568-1758220256.jpg?lm=1
Sporting CP,2026,summer,out,Biel,biel,Left Winger,25,Brazil,Pafos,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/875328-1684595840.jpg?lm=1
Sporting CP,2026,summer,out,Hidemasa Morita,hidemasa morita,Central Midfield,31,Japan,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/524315-1765307094.jpg?lm=1
Porto,2026,summer,in,Jakub Kiwior,jakub kiwior,Centre-Back,26,Poland,Arsenal,17000000.0,€17.00m,https://img.a.transfermarkt.technology/portrait/medium/425918-1683101307.jpg?lm=1
Porto,2026,summer,in,João Afonso,joao afonso,Goalkeeper,19,Portugal,Santa Clara,1500000.0,€1.50m,https://img.a.transfermarkt.technology/portrait/medium/1083369-1672318882.jpg?lm=1
Porto,2026,summer,in,André Silva,andre silva,Centre-Forward,30,Portugal,Elche CF,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/198008-1724336978.jpg?lm=1
Porto,2026,summer,in,Stephen Eustaquio,stephen eustaquio,Central Midfield,29,Canada,LAFC,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/512913-1778846068.jpg?lm=1
Porto,2026,summer,in,Danny Namaso,danny namaso,Left Winger,25,Cameroon,AJ Auxerre,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/392767-1669115274.png?lm=1
Porto,2026,summer,in,Gabriel Veron,gabriel veron,Right Winger,22,Brazil,Santos,,End of loan 15/07/2025,https://img.a.transfermarkt.technology/portrait/medium/627221-1669112552.png?lm=1
Porto,2026,summer,in,Iván Jaime,ivan jaime,Attacking Midfield,25,Spain,Montréal,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/610335-1771707220.jpg?lm=1
Porto,2026,summer,in,Gabriel Veron,gabriel veron,Right Winger,23,Brazil,Nacional,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/627221-1669112552.png?lm=1
Porto,2026,summer,in,Vasco Sousa,vasco sousa,Central Midfield,23,Portugal,Moreirense,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/575716-1725014523.png?lm=1
Porto,2026,summer,in,Samuel Portugal,samuel portugal,Goalkeeper,32,Brazil,Al-Okhdood,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/284701-1669115006.png?lm=1
Porto,2026,summer,out,Danny Namaso,danny namaso,Left Winger,25,Cameroon,AJ Auxerre,5000000.0,€5.00m,https://img.a.transfermarkt.technology/portrait/medium/392767-1669115274.png?lm=1
Porto,2026,summer,out,Thiago Silva,thiago silva,Centre-Back,41,Brazil,Fluminense,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/29241-1661856081.jpg?lm=1
Porto,2026,summer,out,Yann Karamoh,yann karamoh,Left Winger,27,France,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/324804-1663596515.jpg?lm=1
Porto,2026,summer,out,Luuk de Jong,luuk de jong,Centre-Forward,35,Netherlands,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/72522-1682332002.jpg?lm=1
Porto,2026,summer,out,Jakub Kiwior,jakub kiwior,Centre-Back,26,Poland,Arsenal,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/425918-1683101307.jpg?lm=1
