squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Angers,2026,summer,in,Usman Simbakoli,usman simbakoli,Centre-Forward,24,Central African Republic,RWDM Brussels,250000.0,€250k,https://img.a.transfermarkt.technology/portrait/medium/766839-1756929539.jpg?lm=1
Angers,2026,summer,in,Anthony Lopes,anthony lopes,Goalkeeper,35,Portugal,FC Nantes,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/60561-1640775949.jpg?lm=1
Angers,2026,summer,in,Anthony Bermont,anthony bermont,Left Winger,21,France,Lens,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/1088110-1741877893.jpg?lm=1
Angers,2026,summer,in,Sidiki Chérif,sidiki cherif,Centre-Forward,19,Guinea,Fenerbahçe,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/986288-1770977210.jpg?lm=1
Angers,2026,summer,in,Jim Allevinah,jim allevinah,Right Winger,31,Gabon,Kasimpasa,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/646733-1750956955.png?lm=1
Angers,2026,summer,out,Sidiki Chérif,sidiki cherif,Centre-Forward,19,Guinea,Fenerbahçe,18000000.0,€18.00m,https://img.a.transfermarkt.technology/portrait/medium/986288-1770977210.jpg?lm=1
Angers,2026,summer,out,Abdoulaye Bamba,abdoulaye bamba,Centre-Back,36,Cote d'Ivoire,Retired,,-,https://img.a.transfermarkt.technology/portrait/medium/62351-1750955806.png?lm=1
Angers,2026,summer,out,Florent Hanin,florent hanin,Left-Back,36,France,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/111811-1750955915.png?lm=1
Angers,2026,summer,out,Pierrick Capelle,pierrick capelle,Central Midfield,39,France,Retired,,-,https://img.a.transfermarkt.technology/portrait/medium/214532-1750956399.png?lm=1
Angers,2026,summer,out,Hervé Koffi,herve koffi,Goalkeeper,29,Burkina Faso,Lens,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/415383-1672499883.jpg?lm=1
Angers,2026,summer,out,Branco van den Boomen,branco van den boomen,Central Midfield,30,Netherlands,Ajax,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/203938-1682946572.jpg?lm=1
Angers,2026,summer,out,Goduine Koyalipou,goduine koyalipou,Centre-Forward,26,Central African Republic,Lens,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/525140-1714738152.png?lm=1
Auxerre,2026,summer,in,Arthur Piedfort,arthur piedfort,Defensive Midfield,21,Belgium,KVC Westerlo,5500000.0,€5.50m,https://img.a.transfermarkt.technology/portrait/medium/775981-1781076483.jpg?lm=1
Auxerre,2026,summer,in,Danny Namaso,danny namaso,Left Winger,25,Cameroon,Porto,5000000.0,€5.00m,https://img.a.transfermarkt.technology/portrait/medium/392767-1669115274.png?lm=1
Auxerre,2026,summer,in,Mamadou Diop,mamadou diop,Goalkeeper,26,Mauritania,Grenoble,2000000.0,€2.00m,https://img.a.transfermarkt.technology/portrait/medium/917147-1741879989.jpg?lm=1
Auxerre,2026,summer,in,Sékou Fofana,sekou fofana,Left-Back,23,France,Lausanne-Sport,,?,https://img.a.transfermarkt.technology/portrait/medium/668941-1764844513.jpg?lm=1
Auxerre,2026,summer,in,Xiangxin Wei,xiangxin wei,Centre-Forward,18,China,MZ Hakka,,?,https://img.a.transfermarkt.technology/portrait/medium/1265965-1763154919.jpg?lm=1
Auxerre,2026,summer,in,Aristide Zossou,aristide zossou,Left Winger,21,Cote d'Ivoire,USL Dunkerque,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1310513-1778863128.jpg?lm=1
Auxerre,2026,summer,in,Paul Joly,paul joly,Right-Back,26,France,1.FC K'lautern,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/806168-1667290785.jpg?lm=1
Auxerre,2026,summer,in,Theo Bair,theo bair,Centre-Forward,26,Canada,Lausanne-Sport,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/501709-1618858914.jpg?lm=1
Auxerre,2026,summer,in,Saad Agouzoul,saad agouzoul,Centre-Back,28,Morocco,Omonia Nicosia,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/556865-1762902747.jpg?lm=1
