squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Atalanta,2026,summer,in,Gianluca Gaetano,gianluca gaetano,Defensive Midfield,26,Italy,Cagliari,12000000.0,€12.00m,https://img.a.transfermarkt.technology/portrait/medium/358008-1757604842.jpg?lm=1
Atalanta,2026,summer,in,Paolo Vismara,paolo vismara,Goalkeeper,23,Italy,Atalanta U23,,-,https://img.a.transfermarkt.technology/portrait/medium/650256-1777960882.jpg?lm=1
Atalanta,2026,summer,in,Marco Palestra,marco palestra,Right-Back,21,Italy,Cagliari,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/895937-1704902310.jpg?lm=1
Atalanta,2026,summer,in,El Bilal Touré,el bilal toure,Left Winger,24,Mali,Besiktas,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/649016-1770375726.png?lm=1
Atalanta,2026,summer,in,Marco Brescianini,marco brescianini,Central Midfield,26,Italy,Fiorentina,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/459128-1730183739.jpg?lm=1
Atalanta,2026,summer,in,Daniel Maldini,daniel maldini,Attacking Midfield,24,Italy,Lazio,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/539134-1695031448.jpg?lm=1
Atalanta,2026,summer,in,Ibrahim Sulemana,ibrahim sulemana,Defensive Midfield,23,Ghana,Cagliari,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/982267-1695033715.jpg?lm=1
Atalanta,2026,summer,in,Ben Godfrey,ben godfrey,Centre-Back,28,England,Bröndby IF,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/343475-1700739275.jpg?lm=1
Atalanta,2026,summer,in,Giovanni Bonfanti,giovanni bonfanti,Centre-Back,23,Italy,Spezia Calcio,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/663900-1757604741.jpg?lm=1
Atalanta,2026,summer,in,Vanja Vlahović,vanja vlahovic,Centre-Forward,22,Serbia,Spezia Calcio,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/698546-1730123337.jpg?lm=1
Atalanta,2026,summer,in,Giorgio Cittadini,giorgio cittadini,Centre-Back,24,Italy,Frosinone,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/616628-1664874587.png?lm=1
Atalanta,2026,summer,out,Marco Palestra,marco palestra,Right-Back,21,Italy,Chelsea,57000000.0,€57.00m,https://img.a.transfermarkt.technology/portrait/medium/895937-1704902310.jpg?lm=1
Atalanta,2026,summer,out,Marco Brescianini,marco brescianini,Central Midfield,26,Italy,Fiorentina,10000000.0,€10.00m,https://img.a.transfermarkt.technology/portrait/medium/459128-1730183739.jpg?lm=1
Atalanta,2026,summer,out,Ben Godfrey,ben godfrey,Centre-Back,28,England,Rangers,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/343475-1700739275.jpg?lm=1
Atalanta,2026,summer,out,Yunus Musah,yunus musah,Central Midfield,23,United States,AC Milan,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/503991-1684913655.jpg?lm=1
Bologna,2026,summer,in,Tommaso Pobega,tommaso pobega,Central Midfield,26,Italy,AC Milan,7000000.0,€7.00m,https://img.a.transfermarkt.technology/portrait/medium/392538-1661767249.jpg?lm=1
Bologna,2026,summer,in,Luigi Caccavo,luigi caccavo,Centre-Forward,22,Italy,Lumezzane,300000.0,€300k,https://img.a.transfermarkt.technology/portrait/medium/815787-1752499407.jpg?lm=1
Bologna,2026,summer,in,Dimitar Papazov,dimitar papazov,Left-Back,19,Bulgaria,Bologna U20,,-,https://img.a.transfermarkt.technology/portrait/medium/1108253-1696356049.png?lm=1
Bologna,2026,summer,in,Emil Holm,emil holm,Right-Back,26,Sweden,Juventus,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/496745-1688450376.jpg?lm=1
Bologna,2026,summer,in,Giovanni Fabbian,giovanni fabbian,Attacking Midfield,23,Italy,Fiorentina,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/633668-1695027735.jpg?lm=1
Bologna,2026,summer,in,Michel Aebischer,michel aebischer,Central Midfield,29,Switzerland,Pisa,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/237658-1669289063.jpg?lm=1
Bologna,2026,summer,in,Jesper Karlsson,jesper karlsson,Left Winger,27,Sweden,Utrecht,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/367992-1739281929.jpg?lm=1
Bologna,2026,summer,in,Mihajlo Ilić,mihajlo ilic,Centre-Back,23,Serbia,RSC Anderlecht,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/845566-1678309962.jpg?lm=1
Bologna,2026,summer,in,Oussama El Azzouzi,oussama el azzouzi,Defensive Midfield,25,Morocco,AJ Auxerre,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/531065-1707127581.jpg?lm=1
Bologna,2026,summer,in,Tommaso Corazza,tommaso corazza,Left Midfield,22,Italy,Cesena,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/818880-1692278831.jpg?lm=1
Bologna,2026,summer,in,Niklas Pyyhtiä,niklas pyyhtia,Central Midfield,22,Finland,Modena,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/679754-1758100281.png?lm=1
Bologna,2026,summer,in,Wisdom Amey,wisdom amey,Centre-Back,20,Italy,Pianese,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/818878-1620856266.jpg?lm=1
Bologna,2026,summer,in,Manuel Rosetti,manuel rosetti,Central Midfield,21,Italy,Carpi,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/935173-1692961774.jpg?lm=1
Bologna,2026,summer,in,Riccardo Stivanello,riccardo stivanello,Centre-Back,22,Italy,Lumezzane,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/818882-1642491925.jpg?lm=1
Bologna,2026,summer,in,Mattia Motolese,mattia motolese,Centre-Back,22,Italy,Pro Patria,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Bologna,2026,summer,in,Tommaso Ebone,tommaso ebone,Centre-Forward,20,Italy,Trento,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/930150-1692961731.jpg?lm=1
Bologna,2026,summer,in,Gennaro Anatriello,gennaro anatriello,Centre-Forward,22,Italy,Lumezzane,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Bologna,2026,summer,in,Lorenzo Menegazzo,lorenzo menegazzo,Central Midfield,20,Italy,Foggia,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/897921-1779694432.jpg?lm=1
Bologna,2026,summer,in,Orji Okwonkwo,orji okwonkwo,Right Winger,28,Nigeria,Pescara,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/401935-1634109024.jpg?lm=1
Bologna,2026,summer,in,Francesco Raffaelli,francesco raffaelli,Goalkeeper,21,Italy,Alcione,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Bologna,2026,summer,in,Davide Franzini,davide franzini,Goalkeeper,21,Italy,Bra,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/821105-1752933335.jpg?lm=1
Bologna,2026,summer,in,Elia Barbaro,elia barbaro,Defensive Midfield,19,Italy,Nocerina,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Bologna,2026,summer,out,Giovanni Fabbian,giovanni fabbian,Attacking Midfield,23,Italy,Fiorentina,13000000.0,€13.00m,https://img.a.transfermarkt.technology/portrait/medium/633668-1695027735.jpg?lm=1
Bologna,2026,summer,out,Michel Aebischer,michel aebischer,Central Midfield,29,Switzerland,Pisa,4500000.0,€4.50m,https://img.a.transfermarkt.technology/portrait/medium/237658-1669289063.jpg?lm=1
Bologna,2026,summer,out,Tommaso Corazza,tommaso corazza,Left Midfield,22,Italy,LR Vicenza,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/818880-1692278831.jpg?lm=1
Bologna,2026,summer,out,Wisdom Amey,wisdom amey,Centre-Back,20,Italy,Frosinone,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/818878-1620856266.jpg?lm=1
Bologna,2026,summer,out,Remo Freuler,remo freuler,Central Midfield,34,Switzerland,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/148252-1688044464.jpg?lm=1
Bologna,2026,summer,out,Charalampos Lykogiannis,charalampos lykogiannis,Left-Back,32,Greece,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/136514-1663656826.jpg?lm=1
Bologna,2026,summer,out,Kevin Bonifazi,kevin bonifazi,Centre-Back,30,Italy,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/247377-1663656615.jpg?lm=1
Bologna,2026,summer,out,Orji Okwonkwo,orji okwonkwo,Right Winger,28,Nigeria,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/401935-1634109024.jpg?lm=1
Bologna,2026,summer,out,Giuseppe Battimelli,giuseppe battimelli,Centre-Forward,21,Italy,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/1055861-1695645252.png?lm=1
Bologna,2026,summer,out,João Mário,joao mario,Right-Back,26,Portugal,Juventus,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/537602-1753421209.jpg?lm=1
Bologna,2026,summer,out,Tommaso Pobega,tommaso pobega,Central Midfield,26,Italy,AC Milan,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/392538-1661767249.jpg?lm=1
Bologna,2026,summer,out,Simon Sohm,simon sohm,Central Midfield,25,Switzerland,Fiorentina,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/507486-1753435341.jpg?lm=1
Bologna,2026,winter,in,Thomas Gillier,thomas gillier,Goalkeeper,22,Chile,Montréal,,End of loan 31/12/2026,https://img.a.transfermarkt.technology/portrait/medium/886152-1771707057.jpg?lm=1
Cagliari,2026,summer,in,Sebastiano Esposito,sebastiano esposito,Second Striker,23,Italy,Inter,4000000.0,€4.00m,https://img.a.transfermarkt.technology/portrait/medium/538918-1730127469.jpg?lm=1
Cagliari,2026,summer,in,Alessandro Romano,alessandro romano,Defensive Midfield,20,Switzerland,Roma,,Loan fee: €500k,https://img.a.transfermarkt.technology/portrait/medium/911224-1736759506.jpg?lm=1
Cagliari,2026,summer,in,Kingstone Mutandwa,kingstone mutandwa,Centre-Forward,23,Zambia,SV Ried,,End of loan 30/06/2026 €250k,https://img.a.transfermarkt.technology/portrait/medium/1111663-1753367462.png?lm=1
Cagliari,2026,summer,in,Demi Akarakiri,demi akarakiri,Central Midfield,18,England,Everton U18,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/1078164-1783321719.jpg?lm=1
Cagliari,2026,summer,in,Nicola Grandu,nicola grandu,Left Midfield,19,Italy,Cagliari U20,,-,https://img.a.transfermarkt.technology/portrait/medium/1048013-1752133783.jpg?lm=1
Cagliari,2026,summer,in,Ivan Sulev,ivan sulev,Central Midfield,19,Bulgaria,Cagliari U20,,-,https://img.a.transfermarkt.technology/portrait/medium/926839-1659474005.png?lm=1
Cagliari,2026,summer,in,Matteo Prati,matteo prati,Defensive Midfield,22,Italy,Torino,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/876298-1686214955.jpg?lm=1
Cagliari,2026,summer,in,Zito Luvumbo,zito luvumbo,Right Winger,24,Angola,RCD Mallorca,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/666547-1655123282.jpg?lm=1
Cagliari,2026,summer,in,Nik Prelec,nik prelec,Centre-Forward,25,Slovenia,Oxford United,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/469690-1775589275.jpg?lm=1
Cagliari,2026,summer,in,Davide Veroli,davide veroli,Centre-Back,23,Italy,Palermo,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/705097-1695047244.jpg?lm=1
Cagliari,2026,summer,in,Boris Radunović,boris radunovic,Goalkeeper,30,Serbia,Spezia Calcio,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/258482-1757604393.jpg?lm=1
Cagliari,2026,summer,in,Nicolò Cavuoti,nicolo cavuoti,Attacking Midfield,23,Italy,Bari,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/701842-1753403818.jpg?lm=1
Cagliari,2026,summer,in,Alessandro Vinciguerra,alessandro vinciguerra,Left Winger,20,Italy,Monopoli,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/885228-1747033715.jpg?lm=1
Cagliari,2026,summer,in,Sebastiano Di Paolo,sebastiano di paolo,Right Winger,19,Italy,Siracusa,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Cagliari,2026,summer,in,Nicola Pintus,nicola pintus,Centre-Back,21,Italy,Cosenza,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/885230-1745908959.jpg?lm=1
Cagliari,2026,summer,in,Velizar-Iliya Iliev,velizar-iliya iliev,Goalkeeper,20,Bulgaria,Cerignola,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/927933-1752169209.jpeg?lm=1
Cagliari,2026,summer,in,Francesco Gallea,francesco gallea,Centre-Back,21,Mali,Lumezzane,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/887650-1783488840.jpg?lm=1
Cagliari,2026,summer,out,Gianluca Gaetano,gianluca gaetano,Defensive Midfield,26,Italy,Atalanta,12000000.0,€12.00m,https://img.a.transfermarkt.technology/portrait/medium/358008-1757604842.jpg?lm=1
Cagliari,2026,summer,out,Nik Prelec,nik prelec,Centre-Forward,25,Slovenia,Oxford United,1000000.0,€1.00m,https://img.a.transfermarkt.technology/portrait/medium/469690-1775589275.jpg?lm=1
Cagliari,2026,summer,out,Andrea Belotti,andrea belotti,Centre-Forward,32,Italy,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/167727-1663581136.jpg?lm=1
Cagliari,2026,summer,out,Leonardo Pavoletti,leonardo pavoletti,Centre-Forward,37,Italy,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/64793-1725530760.jpg?lm=1
Cagliari,2026,summer,out,Alessandro Vinciguerra,alessandro vinciguerra,Left Winger,20,Italy,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/885228-1747033715.jpg?lm=1
Cagliari,2026,summer,out,Marco Palestra,marco palestra,Right-Back,21,Italy,Atalanta,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/895937-1704902310.jpg?lm=1
Cagliari,2026,summer,out,Sebastiano Esposito,sebastiano esposito,Second Striker,23,Italy,Inter,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/538918-1730127469.jpg?lm=1
Cagliari,2026,summer,out,Semih Kılıçsoy,semih kilicsoy,Centre-Forward,20,Türkiye,Besiktas,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/875334-1774624387.jpeg?lm=1
Cagliari,2026,summer,out,Alberto Dossena,alberto dossena,Centre-Back,27,Italy,Como,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/385394-1686510717.jpg?lm=1
Cagliari,2026,summer,out,Ibrahim Sulemana,ibrahim sulemana,Defensive Midfield,23,Ghana,Atalanta,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/982267-1695033715.jpg?lm=1
Cagliari,2026,summer,out,Michael Folorunsho,michael folorunsho,Central Midfield,28,Italy,Napoli,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/377042-1722173196.jpg?lm=1
Cagliari,2026,summer,out,Alessandro Romano,alessandro romano,Defensive Midfield,21,Switzerland,Roma,,End of loan 30/06/2027,https://img.a.transfermarkt.technology/portrait/medium/911224-1736759506.jpg?lm=1
Cagliari,2026,summer,out,Luca Mazzitelli,luca mazzitelli,Central Midfield,30,Italy,Como,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/226025-1730185840.jpg?lm=1
Como,2026,summer,in,Álvaro Morata,alvaro morata,Centre-Forward,33,Spain,AC Milan,12000000.0,€12.00m,https://img.a.transfermarkt.technology/portrait/medium/128223-1719989301.jpg?lm=1
Como,2026,summer,in,Luis Milla,luis milla,Central Midfield,31,Spain,Getafe,6000000.0,€6.00m,https://img.a.transfermarkt.technology/portrait/medium/281989-1669364960.jpg?lm=1
Como,2026,summer,in,Andrés Cuenca,andres cuenca,Centre-Back,19,Spain,Barça Atlètic,500000.0,€500k,https://img.a.transfermarkt.technology/portrait/medium/962111-1745401649.jpg?lm=1
Como,2026,summer,in,Kaiki,kaiki,Left-Back,23,Brazil,Cruzeiro,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/879217-1678847563.jpg?lm=1
Como,2026,summer,in,Yannik Engelhardt,yannik engelhardt,Defensive Midfield,25,Germany,Mönchengladbach,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/405670-1760966867.jpg?lm=1
Como,2026,summer,in,Stefan Posch,stefan posch,Centre-Back,29,Austria,Mainz,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/223974-1725531246.jpg?lm=1
Como,2026,summer,in,Alberto Dossena,alberto dossena,Centre-Back,27,Italy,Cagliari,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/385394-1686510717.jpg?lm=1
Como,2026,summer,in,Iván Azón,ivan azon,Centre-Forward,23,Spain,Ipswich,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/633306-1732367699.jpg?lm=1
Como,2026,summer,in,Alieu Fadera,alieu fadera,Left Winger,24,The Gambia,Sassuolo,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/749552-1753767931.jpg?lm=1
Como,2026,summer,in,Fabio Rispoli,fabio rispoli,Central Midfield,19,Italy,Catanzaro,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/981136-1730128894.jpg?lm=1
Como,2026,summer,in,Patrick Cutrone,patrick cutrone,Centre-Forward,28,Italy,Monza,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/265078-1714818222.jpg?lm=1
Como,2026,summer,in,Emil Audero,emil audero,Goalkeeper,29,Indonesia,Cremonese,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/256339-1663679682.jpg?lm=1
Como,2026,summer,in,Fellipe Jack,fellipe jack,Centre-Back,20,Italy,Catanzaro,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1004723-1680450497.jpg?lm=1
Como,2026,summer,in,Andréa Le Borgne,andrea le borgne,Defensive Midfield,19,France,Avellino,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1204163-1767802091.jpg?lm=1
