rank,country,coefficient,teams
1,England,119.519,9
2,Italy,99.946,7
3,Spain,97.046,8
4,Germany,92.902,7
5,France,83.498,7
6,Portugal,73.166,5
7,Netherlands,67.929,6
8,Belgium,62.25,5
9,Türkiye,51.875,5
10,Czechia,48.525,5
11,Greece,48.412,5
12,Poland,46.75,4
13,Denmark,42.106,4
14,Norway,41.237,5
15,Cyprus,35.693,4
16,Switzerland,34.7,5
17,Austria,33.85,5
18,Scotland,32.05,5
19,Sweden,29.625,4
20,Croatia,28.156,4
21,Israel,27.5,4
22,Hungary,27.187,4
23,Ukraine,25.912,4
24,Serbia,25.75,4
25,Romania,25.25,4
26,Slovenia,24.468,4
27,Azerbaijan,22.937,4
28,Russia,22.632,0
29,Slovakia,22.375,4
30,Bulgaria,21.062,4
31,Ireland,17.343,4
32,Iceland,16.52,4
33,Armenia,15.062,4
34,Moldova,14.625,4
35,Finland,14.0,4
36,Kosovo,13.989,4
37,Kazakhstan,13.75,4
38,Bosnia-Herzegovina,13.718,4
39,Latvia,12.875,4
40,Faroe Islands,9.75,4
41,Malta,9.0,4
42,Liechtenstein,8.5,1
43,Estonia,8.207,4
44,Albania,8.125,4
45,North Macedonia,7.759,4
46,Lithuania,7.75,4
47,Northern Ireland,7.25,4
48,Gibraltar,7.124,3
49,Andorra,6.832,3
50,Belarus,6.625,4
51,Luxembourg,6.625,4
52,Montenegro,6.583,3
53,Georgia,6.0,4
54,Wales,5.624,3
55,San Marino,3.0,3
