rank,club,country,coefficient
1,Bayern München,Ger,147.5
2,Real Madrid,Esp,144.5
3,Paris Saint-Germain,Fra,132.0
4,Liverpool,Eng,130.0
5,Internazionale,Ita,127.0
6,Manchester City,Eng,125.5
7,Arsenal,Eng,119.0
8,FC Barcelona,Esp,113.25
9,Bayer Leverkusen,Ger,105.0
10,Atlético Madrid,Esp,104.75
11,Borussia Dortmund,Ger,100.75
12,Chelsea,Eng,99.25
13,AS Roma,Ita,97.75
14,Benfica,Por,90.0
15,Sporting CP Lisbon,Por,84.0
17,Aston Villa,Eng,83.0
19,Tottenham Hotspur,Eng,82.0
20,FC Porto,Por,80.75
21,Manchester United,Eng,76.5
22,Fiorentina,Ita,76.25
23,Club Brugge,Bel,75.25
24,Real Betis,Esp,74.5
25,Juventus,Ita,72.25
26,PSV Eindhoven,Ned,71.25
27,Feyenoord,Ned,71.0
28,West Ham United,Eng,69.0
29,Lille OSC,Fra,68.75
30,AC Milan,Ita,66.0
31,Olympique Lyon,Fra,65.75
32,Bodø/Glimt,Nor,64.0
33,Sporting Braga,Por,63.75
34,Napoli,Ita,63.0
35,AZ Alkmaar,Ned,62.875
36,Olympiakos Piraeus,Gre,62.25
37,RB Leipzig,Ger,61.0
38,Glasgow Rangers,Sco,59.25
39,Villarreal,Esp,59.0
41,Ajax,Ned,58.25
42,Fenerbahçe,Tur,57.75
43,Real Sociedad,Esp,57.0
44,SC Freiburg,Ger,56.5
45,Shakhtar Donetsk,Ukr,56.25
46,AS Monaco,Fra,56.0
47,FC København,Den,54.375
48,Olympique Marseille,Fra,54.0
49,Galatasaray,Tur,53.5
50,Ferencváros,Hun,51.25
51,Viktoria Plzen,Cze,50.5
52,FC Midtjylland,Den,48.25
54,Union Saint-Gilloise,Bel,48.0
55,Red Star Belgrade,Srb,46.5
57,FC Salzburg,Aut,45.0
58,Celtic,Sco,44.0
60,Qarabag FK,Azb,42.75
61,AA Gent,Bel,39.0
63,Athletic Bilbao,Esp,38.75
64,Sparta Praha,Cze,38.25
65,Slovan Bratislava,Svk,36.0
66,Stade Rennais,Fra,35.0
67,FC Basel,Sui,34.5
68,Legia Warsaw,Pol,32.5
70,Djurgårdens IF,Swe,32.0
71,Bologna,Ita,30.75
73,Newcastle United,Eng,29.75
75,Young Boys,Sui,29.5
76,Panathinaikos,Gre,29.25
77,Racing Genk,Bel,29.0
78,Ludogorets Razgrad,Bul,28.75
79,Sturm Graz,Aut,28.0
80,VfB Stuttgart,Ger,27.5
81,Lech Poznan,Pol,27.25
82,FCSB,Rom,25.5
83,Pafos FC,Cyp,24.125
84,AEK Athens,Gre,24.0
85,Nottingham Forest,Eng,23.903
89,NK Celje,Slo,23.0
91,Raków Czestochowa,Pol,22.25
92,Rayo Vallecano,Esp,22.0
95,Molde FK,Nor,21.75
96,RC Strasbourg,Fra,21.5
97,Omonia Nicosia,Cyp,21.25
99,LASK,Aut,21.0
100,AEK Larnaca,Cyp,20.25
101,OGC Nice,Fra,20.0
103,Istanbul Basaksehir,Tur,19.5
104,Celta de Vigo,Esp,19.409
107,Shamrock Rovers,Irl,19.375
108,Vitória Guimarães,Por,18.75
109,NK Rijeka,Cro,18.625
110,FSV Mainz 05,Ger,18.58
115,Olimpija Ljubljana,Slo,18.375
116,Dynamo Kyiv,Ukr,17.5
119,Stade Brestois,Fra,16.75
120,RC Lens,Fra,16.699
123,Besiktas,Tur,15.5
124,Malmö FF,Swe,15.0
125,APOEL Nicosia,Cyp,14.75
126,CD Santa Clara,Por,14.633
130,KuPS Kuopio,Fin,14.0
133,FC Drita,Kos,13.625
134,Go Ahead Eagles,Ned,13.585
138,Lincoln Red Imps,Gib,13.5
139,Zrinjski Mostar,Bos,13.25
140,Borac Banja Luka,Bos,13.125
141,Cercle Brugge,Bel,12.75
142,RFS Riga,Lat,12.5
147,Charleroi,Bel,12.45
148,SK Brann Bergen,Nor,12.25
149,Breidablik,Isl,12.0
154,Vikingur Reykjavik,Isl,11.75
155,Hearts FC,Sco,11.5
156,Samsunspor,Tur,11.125
157,Kairat Almaty,Kaz,11.0
160,Shkendija Tetovo,Mac,10.875
161,FC Noah,Arm,10.75
