group,team,abbr,logo,P,W,D,L,GF,GA,GD,Pts
A,Mexico,MEX,https://a.espncdn.com/i/teamlogos/countries/500/mex.png,3,3,0,0,6,0,6,9
A,South Africa,RSA,https://a.espncdn.com/i/teamlogos/countries/500/rsa.png,3,1,1,1,2,3,-1,4
A,South Korea,KOR,https://a.espncdn.com/i/teamlogos/countries/500/kors.png,3,1,0,2,2,3,-1,3
A,Czechia,CZE,https://a.espncdn.com/i/teamlogos/countries/500/cze.png,3,0,1,2,2,6,-4,1
B,Switzerland,SUI,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,3,2,1,0,7,3,4,7
B,Canada,CAN,https://a.espncdn.com/i/teamlogos/countries/500/can.png,3,1,1,1,8,3,5,4
B,Bosnia-Herzegovina,BIH,https://a.espncdn.com/i/teamlogos/countries/500/bih.png,3,1,1,1,5,6,-1,4
B,Qatar,QAT,https://a.espncdn.com/i/teamlogos/countries/500/qat.png,3,0,1,2,2,10,-8,1
C,Brazil,BRA,https://a.espncdn.com/i/teamlogos/countries/500/bra.png,3,2,1,0,7,1,6,7
C,Morocco,MAR,https://a.espncdn.com/i/teamlogos/countries/500/mar.png,3,2,1,0,6,3,3,7
C,Scotland,SCO,https://a.espncdn.com/i/teamlogos/countries/500/sco.png,3,1,0,2,1,4,-3,3
C,Haiti,HAI,https://a.espncdn.com/i/teamlogos/countries/500/hai.png,3,0,0,3,2,8,-6,0
D,United States,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,3,2,0,1,8,4,4,6
D,Australia,AUS,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,3,1,1,1,2,2,0,4
D,Paraguay,PAR,https://a.espncdn.com/i/teamlogos/countries/500/par.png,3,1,1,1,2,4,-2,4
D,Türkiye,TUR,https://a.espncdn.com/i/teamlogos/countries/500/tur.png,3,1,0,2,3,5,-2,3
E,Germany,GER,https://a.espncdn.com/i/teamlogos/countries/500/ger.png,3,2,0,1,10,4,6,6
E,Ivory Coast,CIV,https://a.espncdn.com/i/teamlogos/countries/500/civ.png,3,2,0,1,4,2,2,6
E,Ecuador,ECU,https://a.espncdn.com/i/teamlogos/countries/500/ecu.png,3,1,1,1,2,2,0,4
E,Curaçao,CUW,https://a.espncdn.com/i/teamlogos/soccer/500/11678.png,3,0,1,2,1,9,-8,1
F,Netherlands,NED,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,3,2,1,0,10,4,6,7
F,Japan,JPN,https://a.espncdn.com/i/teamlogos/countries/500/jpn.png,3,1,2,0,7,3,4,5
F,Sweden,SWE,https://a.espncdn.com/i/teamlogos/countries/500/swe.png,3,1,1,1,7,7,0,4
F,Tunisia,TUN,https://a.espncdn.com/i/teamlogos/countries/500/tun.png,3,0,0,3,2,12,-10,0
G,Belgium,BEL,https://a.espncdn.com/i/teamlogos/countries/500/bel.png,3,1,2,0,6,2,4,5
G,Egypt,EGY,https://a.espncdn.com/i/teamlogos/countries/500/egy.png,3,1,2,0,5,3,2,5
G,Iran,IRN,https://a.espncdn.com/i/teamlogos/countries/500/irn.png,3,0,3,0,3,3,0,3
G,New Zealand,NZL,https://a.espncdn.com/i/teamlogos/countries/500/nzl.png,3,0,1,2,4,10,-6,1
H,Spain,ESP,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,3,2,1,0,5,0,5,7
H,Cape Verde,CPV,https://a.espncdn.com/i/teamlogos/countries/500/cpv.png,3,0,3,0,2,2,0,3
H,Uruguay,URU,https://a.espncdn.com/i/teamlogos/countries/500/uru.png,3,0,2,1,3,4,-1,2
H,Saudi Arabia,KSA,https://a.espncdn.com/i/teamlogos/countries/500/ksa.png,3,0,2,1,1,5,-4,2
I,France,FRA,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,3,3,0,0,10,2,8,9
I,Norway,NOR,https://a.espncdn.com/i/teamlogos/countries/500/nor.png,3,2,0,1,8,7,1,6
I,Senegal,SEN,https://a.espncdn.com/i/teamlogos/countries/500/sen.png,3,1,0,2,8,6,2,3
I,Iraq,IRQ,https://a.espncdn.com/i/teamlogos/countries/500/irq.png,3,0,0,3,1,12,-11,0
J,Argentina,ARG,https://a.espncdn.com/i/teamlogos/countries/500/arg.png,3,3,0,0,8,1,7,9
J,Austria,AUT,https://a.espncdn.com/i/teamlogos/countries/500/aut.png,3,1,1,1,6,6,0,4
J,Algeria,ALG,https://a.espncdn.com/i/teamlogos/countries/500/alg.png,3,1,1,1,5,7,-2,4
J,Jordan,JOR,https://a.espncdn.com/i/teamlogos/countries/500/jor.png,3,0,0,3,3,8,-5,0
K,Colombia,COL,https://a.espncdn.com/i/teamlogos/countries/500/col.png,3,2,1,0,4,1,3,7
K,Portugal,POR,https://a.espncdn.com/i/teamlogos/countries/500/por.png,3,1,2,0,6,1,5,5
K,Congo DR,COD,https://a.espncdn.com/i/teamlogos/countries/500/rdc.png,3,1,1,1,4,3,1,4
K,Uzbekistan,UZB,https://a.espncdn.com/i/teamlogos/countries/500/uzb.png,3,0,0,3,2,11,-9,0
L,England,ENG,https://a.espncdn.com/i/teamlogos/countries/500/eng.png,3,2,1,0,6,2,4,7
L,Croatia,CRO,https://a.espncdn.com/i/teamlogos/countries/500/cro.png,3,2,0,1,5,5,0,6
L,Ghana,GHA,https://a.espncdn.com/i/teamlogos/countries/500/gha.png,3,1,1,1,2,2,0,4
L,Panama,PAN,https://a.espncdn.com/i/teamlogos/countries/500/pan.png,3,0,0,3,0,4,-4,0
