player,nation,goals,pens
Kylian Mbappé,France,8,1
Lionel Messi,Argentina,8,0
Erling Haaland,Norway,7,0
Harry Kane,England,6,2
Jude Bellingham,England,6,0
Mikel Oyarzabal,Spain,5,1
Ousmane Dembélé,France,5,0
Ismael Saibari,Morocco,4,1
Julián Quiñones,Mexico,4,0
Vinícius Júnior,Brazil,4,0
Ismaïla Sarr,Senegal,4,0
Raúl Jiménez,Mexico,3,1
Kai Havertz,Germany,3,1
Yoane Wissa,Congo DR,3,1
Rubén Vargas,Switzerland,3,1
Cristiano Ronaldo,Portugal,3,1
Soufiane Rahimi,Morocco,3,1
Lautaro Martínez,Argentina,3,1
Folarin Balogun,United States,3,0
Deniz Undav,Germany,3,0
Elijah Just,New Zealand,3,0
Johan Manzambi,Switzerland,3,0
Jonathan David,Canada,3,0
Matheus Cunha,Brazil,3,0
Brian Brobbey,Netherlands,3,0
Cody Gakpo,Netherlands,3,0
Romelu Lukaku,Belgium,3,0
Charles De Ketelaere,Belgium,3,0
Granit Xhaka,Switzerland,2,2
Maurício,Paraguay,2,1
Breel Embolo,Switzerland,2,1
Jamal Musiala,Germany,2,1
Marko Arnautovic,Austria,2,1
Luis Díaz,Colombia,2,1
Jáminton Campaz,Colombia,2,1
Matías Galarza,Paraguay,2,1
Mohamed Salah,Egypt,2,1
Mahmoud Saber,Egypt,2,1
Youri Tielemans,Belgium,2,1
Cyle Larin,Canada,2,0
Crysencio Summerville,Netherlands,2,0
Daichi Kamada,Japan,2,0
Amad Diallo,Ivory Coast,2,0
Yasin Ayari,Sweden,2,0
Emam Ashour,Egypt,2,0
Maxi Araújo,Uruguay,2,0
Ramin Rezaeian,Iran,2,0
Bradley Barcola,France,2,0
Daniel Muñoz,Colombia,2,0
Ermin Mahmic,Bosnia-Herzegovina,2,0
Anthony Elanga,Sweden,2,0
Ayase Ueda,Japan,2,0
Mostafa Zico,Egypt,2,0
Nicolas Pépé,Ivory Coast,2,0
Habib Diarra,Senegal,2,0
Pape Gueye,Senegal,2,0
Leandro Trossard,Belgium,2,0
Riyad Mahrez,Algeria,2,0
Malik Tillman,United States,2,0
