nation,nation_id,nation_abbr,player,player_id,pos,jersey,age
Algeria,624,ALG,Luca Zidane,225561,G,23,28
Algeria,624,ALG,Oussama Benbot,299346,G,16,31
Algeria,624,ALG,Melvin Mastil,324711,G,1,26
Algeria,624,ALG,Aïssa Mandi,150451,D,2,34
Algeria,624,ALG,Ramy Bensebaini,220703,D,21,31
Algeria,624,ALG,Rayan Aït-Nouri,272512,D,15,25
Algeria,624,ALG,Mohamed Amine Tougai,285539,D,4,26
Algeria,624,ALG,Zineddine Belaïd,285547,D,5,27
Algeria,624,ALG,Samir Chergui,287572,D,26,27
Algeria,624,ALG,Jaouen Hadjam,306033,D,13,23
Algeria,624,ALG,Rafik Belghali,364590,D,17,24
Algeria,624,ALG,Achraf Abada,407797,D,3,27
Algeria,624,ALG,Nabil Bentaleb,179187,M,19,31
Algeria,624,ALG,Houssem Aouar,241116,M,8,28
Algeria,624,ALG,Hicham Boudaoui,287078,M,14,26
Algeria,624,ALG,Ramiz Zerrouki,290517,M,6,28
Algeria,624,ALG,Farès Chaïbi,337306,M,10,23
Algeria,624,ALG,Yassine Titraoui,341720,M,24,23
Algeria,624,ALG,Ibrahim Maza,361212,M,22,20
Algeria,624,ALG,Riyad Mahrez,163940,F,7,35
Algeria,624,ALG,Amine Gouiri,259743,F,9,26
Algeria,624,ALG,Mohamed Amoura,315384,F,18,26
Algeria,624,ALG,Adil Boulbina,341706,M,20,23
Algeria,624,ALG,Anis Hadj Moussa,341711,F,11,24
Algeria,624,ALG,Nadhir Benbouali,346186,F,12,26
Algeria,624,ALG,Farès Ghedjemis,356536,F,25,23
Argentina,202,ARG,José Manuel López,311743,F,21,25
Argentina,202,ARG,Giuliano Simeone,323838,F,17,23
Argentina,202,ARG,Emiliano Martínez,158626,G,23,33
Argentina,202,ARG,Gerónimo Rulli,167192,G,12,34
Argentina,202,ARG,Juan Musso,177927,G,1,32
Argentina,202,ARG,Cristian Romero,96970,D,13,28
Argentina,202,ARG,Nicolás Otamendi,119289,D,19,38
Argentina,202,ARG,Nicolás Tagliafico,145190,D,3,33
Argentina,202,ARG,Nahuel Molina,164826,D,26,28
Argentina,202,ARG,Gonzalo Montiel,228262,D,4,29
Argentina,202,ARG,Lisandro Martínez,233937,D,6,28
Argentina,202,ARG,Marcos Senesi,233945,D,2,29
Argentina,202,ARG,Facundo Medina,249663,D,25,27
Argentina,202,ARG,Leandro Paredes,153115,M,5,32
Argentina,202,ARG,Rodrigo De Paul,174466,M,7,32
Argentina,202,ARG,Giovani Lo Celso,207343,M,11,30
Argentina,202,ARG,Exequiel Palacios,228393,M,14,27
Argentina,202,ARG,Alexis Mac Allister,249299,M,20,27
Argentina,202,ARG,Thiago Almada,277208,M,16,25
Argentina,202,ARG,Enzo Fernández,285450,M,24,25
Argentina,202,ARG,Valentín Barco,320760,M,8,22
